index name x y demand
demand1 TravelingSalespersonAgency 126.11172498465316 89.42904841402338 5
demand11 ReinforcementLearningPuppyTraining 284.83855125844076 188.79465776293824 50
demand12 KKTAirConditioning 256.57213014119094 158.0534223706177 30
demand13 LinearRegressionPsychologyServices 315.2793124616329 163.64273789649417 35
demand14 George'sBasicDieSolutions 213.70656844689995 160.53756260434056 10
demand15 MILPMart 176.7427869858809 186.93155258764608 20
demand18 CallbackCatCafé 187.6144874155924 222.64106844741238 25
demand21 GurobiPolytope 295.71025168815225 240.96160267111856 20
demand22 VertexTower 342.92449355432785 231.3355592654424 30
demand25 FourierTransformTowers 460.96009821976673 302.13355592654426 40
demand26 NonlinearThinkingCenter 356.2811540822591 317.0383973288815 45
demand27 BixbyHall 279.55801104972375 298.40734557595994 20
demand28 RINSLaundromat 169.90914671577656 306.17028380634395 35
demand29 IISTower 113.68692449355433 291.8864774624374 40
demand34 SchedulingStation 359.3873542050338 363.9265442404007 20
demand46 LagrangeBoulangerie 104.98956414978515 419.1986644407346 10
demand53 GuLibrary 278.62615101289134 105.57595993322204 30
