demand_node_index truck_node_index distance scaled_demand
demand1 truck3 347.96943380882016 0
demand1 truck7 81.4752662509253 5
demand1 truck10 305.39953114618174 0
demand1 truck13 154.53235978323963 4
demand1 truck15 280.7948156208944 0
demand1 truck29 508.2321700599231 0
demand1 truck34 559.5130851232464 0
demand1 truck41 580.3330763731364 0
demand1 truck42 658.2131862628978 0
demand1 truck43 683.8011411434152 0
demand1 truck52 362.98065517125997 0
demand1 truck53 333.7621682785534 0
demand1 truck54 435.73884356458944 0
demand1 truck47 482.8546274332761 0
demand1 truck55 672.2768633963449 0
demand11 truck3 291.6450169756394 2
demand11 truck7 296.537830201376 1
demand11 truck10 206.6606155435903 23
demand11 truck13 217.75409826043241 21
demand11 truck15 96.71967505006045 50
demand11 truck29 211.94839262857775 22
demand11 truck34 263.2293076919011 9
demand11 truck41 440.9611037871069 0
demand11 truck42 362.0001176413275 0
demand11 truck43 387.5880725218448 0
demand11 truck52 149.26205273274894 38
demand11 truck53 149.68702770771952 38
demand11 truck54 139.45506613324417 40
demand11 truck47 186.57085000193078 28
demand11 truck55 375.9930859649996 0
demand12 truck3 289.41234558822754 2
demand12 truck7 238.103882905409 9
demand12 truck10 214.1168457822481 13
demand12 truck13 216.52407362733103 13
demand12 truck15 95.48965041695907 30
demand12 truck29 322.92700485598783 0
demand12 truck34 374.2079199193112 0
demand12 truck41 501.3180080342053 0
demand12 truck42 472.9787298687376 0
demand12 truck43 498.56668474925493 0
demand12 truck52 177.67548996732467 18
demand12 truck53 148.45700307461814 23
demand12 truck54 250.43367836065423 7
demand12 truck47 297.54946222934086 0
demand12 truck55 486.9716981924097 0
demand13 truck3 272.0978074726736 5
demand13 truck7 370.90593903667565 0
demand13 truck10 187.11340604062448 20
demand13 truck13 292.1222070957321 1
demand13 truck15 171.08778388536015 23
demand13 truck29 234.12864411447984 12
demand13 truck34 285.4095591778032 3
demand13 truck41 463.14135527300897 0
demand13 truck42 384.1803691272296 0
demand13 truck43 409.7683240077469 0
demand13 truck52 171.44230421865103 22
demand13 truck53 197.54115939099202 18
demand13 truck54 161.63531761914626 24
demand13 truck47 208.75110148783287 16
demand13 truck55 398.17333745090167 0
demand14 truck3 295.09517438095173 0
demand14 truck7 243.78671169813313 3
demand14 truck10 219.7996745749723 4
demand14 truck13 199.63489214255472 5
demand14 truck15 78.60046893218275 10
demand14 truck29 306.0378233712115 0
demand14 truck34 357.3187384345349 0
demand14 truck41 484.42882654942906 0
demand14 truck42 456.0895483839613 0
demand14 truck43 481.6775032644786 0
demand14 truck52 160.78630848254835 7
demand14 truck53 131.56782158984183 8
demand14 truck54 233.5444968758779 3
demand14 truck47 280.66028074456455 1
demand14 truck55 470.0825167076334 0
demand15 truck3 315.91701296649063 0
demand15 truck7 128.84519816661552 17
demand15 truck10 253.36911905776486 5
demand15 truck13 155.1835606499316 14
demand15 truck15 183.87313538616624 12
demand15 truck29 411.31048982519496 0
