index x y
truck3 338.57581338244324 42.230383973288816
truck7 113.0656844689994 131.03839732888147
truck10 336.71209330877844 130.1068447412354
truck13 102.50460405156538 208.35726210350586
truck15 210.60036832412524 207.11519198664442
truck29 296.0208717004297 350.8848080133556
truck34 337.9545733578883 395.28881469115197
truck41 217.4340085942296 477.8864774624374
truck42 276.1411909146716 476.95492487479135
truck43 290.42971147943524 506.7646076794658
truck52 241.9729895641498 281.94991652754595
truck53 209.35788827501537 280.0868113522538
truck54 320.5598526703499 273.5659432387312
truck47 296.3314917127072 323.559265442404
truck55 387.0325352977287 454.5976627712855
