Valor función objetivo: 36008.5328648490
Suma de distancias: 8297.3193410963

Distancia minima: 0.5685129424
Distancia maxima: 25.4207045321
Distancia promedio: 2.5945338778

Pocisiones ambulancias:
Longitud Latitud
-102.2900550031 21.7246843762
-102.1837548771 21.8146122744
-102.4049115171 21.7116256514
-102.2021986682 21.9706134619
-102.3685575805 21.8829497309
-102.2259077750 21.8837878683
-102.2741264652 21.9566930581
-102.2756291570 21.8017874274
-102.3495757388 21.7980230482
-102.3142382389 21.9148741733
-102.2549116740 21.8509407987
-102.2674299372 21.8236038016
-102.2702325824 21.9012900473
-102.2447733539 21.9052220176
-102.3359417998 21.8799464351
-102.2723849344 21.8585679982
-102.2323032155 21.8649819354
-102.2663732410 21.9273981514
-102.2722235926 21.8836112572
-102.2887856757 21.8362479834
-102.3448206789 21.8553451897
-102.2859065997 21.9011458161
-102.3200154461 21.8458144626
-102.3164020187 21.8683685387
-102.2597989782 21.8846365689
-102.3214930708 21.9317917549
-102.2487900757 21.9362812687
-102.2990629891 21.8938309361
-102.3370172698 21.9159938754
-102.2907640838 21.9153262012
-102.2802412488 21.9149140877
-102.2457555160 21.9188310692
-102.2616153658 21.9205547255
-102.2535614065 21.8936288646
-102.3164065376 21.8892654744
-102.2822433633 21.8798704055
-102.2967529829 21.8585134290
-102.2960359994 21.8787884208
-102.3015121052 21.9249304691
-102.2822953377 21.9326125422
-102.2930124947 21.9383990593
-102.2983419693 21.9155315954
-102.2915407507 21.9254954053
-102.2611797073 21.9408366317
-102.2610289266 21.9320494554
-102.2476938841 21.8699811644
-102.2570025597 21.9069904204
-102.2447738581 21.8871012397
-102.2788250341 21.9415317135
-102.2942414259 21.9077419015
