LONGITUD,LATITUD
-102.302942,21.866913
-102.298275,21.866103
-102.322372,21.871378
-102.298275,21.866103
-102.300709,21.860564
-102.298275,21.866103
-102.318652,21.871574
-102.294434,21.866806
-102.310620,21.864978
-102.324531,21.871551
-102.303856,21.859211
-102.321637,21.864092
-102.312699,21.843908
-102.305455,21.875862
-102.303856,21.859211
-102.318157,21.868018
-102.311358,21.858938
-102.317105,21.854187
-102.318981,21.865581
-102.303510,21.846761
-102.298275,21.866103
-102.305681,21.865195
-102.305598,21.875824
-102.305558,21.875834
-102.294201,21.865375
-102.305293,21.864523
-102.308183,21.875190
-102.318630,21.850766
-102.324755,21.871663
-102.306460,21.858506
-102.306460,21.858506
-102.310620,21.864978
-102.302128,21.870304
-102.317193,21.847520
-102.298275,21.866103
-102.310798,21.874498
-102.306020,21.875717
-102.302942,21.866913
-102.300595,21.873902
-102.322372,21.871378
-102.319621,21.871195
-102.316858,21.875340
-102.302425,21.866737
-102.326165,21.871935
-102.310648,21.870221
-102.317105,21.854187
-102.305066,21.850514
-102.312917,21.859174
-102.297365,21.858776
-102.316046,21.855883
-102.326647,21.862204
-102.306448,21.867524
-102.309892,21.845187
-102.315898,21.872676
-102.300709,21.860564
-102.305838,21.874285
-102.322372,21.871378
-102.313997,21.859181
-102.306361,21.859958
-102.316422,21.860152
-102.327939,21.867923
-102.318652,21.871574
-102.316700,21.860667
-102.319616,21.871193
-102.334786,21.863948
-102.318652,21.871574
-102.298275,21.866103
-102.302942,21.866913
-102.312886,21.870872
-102.300969,21.855827
-102.313600,21.852720
-102.311917,21.874191
-102.308258,21.845207
-102.327939,21.867923
-102.312150,21.868332
-102.308183,21.875190
-102.317152,21.862709
-102.302942,21.866913
-102.318652,21.871574
-102.302942,21.866913
-102.311022,21.874385
-102.317055,21.861549
-102.302128,21.870304
-102.298275,21.866103
-102.313997,21.859181
-102.317345,21.863248
-102.318157,21.868018
-102.303856,21.859211
-102.318652,21.871574
-102.309605,21.868274
-102.320936,21.871186
-102.330260,21.862658
-102.314898,21.857733
-102.308504,21.875082
-102.318157,21.868018
-102.318403,21.874708
-102.297711,21.868851
-102.306460,21.858506
-102.321720,21.864252
-102.300972,21.856409
-102.318652,21.871574
-102.310963,21.871052
-102.317873,21.866268
-102.305367,21.875882
-102.302942,21.866913
-102.309539,21.846740
-102.299184,21.867726
-102.310620,21.864978
-102.303677,21.850219
-102.304552,21.850397
-102.300709,21.860564
-102.305905,21.849020
-102.318652,21.871574
-102.311623,21.873190
-102.304134,21.867124
-102.293314,21.865454
-102.294488,21.866711
-102.303086,21.865940
-102.308183,21.875190
-102.297711,21.868851
-102.313997,21.859181
-102.294685,21.868282
-102.320937,21.871185
-102.300709,21.860564
-102.300709,21.860564
-102.299700,21.862142
-102.325689,21.871868
-102.318566,21.870381
-102.305494,21.858701
-102.314567,21.858084
-102.334786,21.863948
-102.334786,21.863948
-102.308478,21.846708
-102.318652,21.871574
-102.311247,21.858804
-102.321096,21.856838
-102.300709,21.860564
-102.321637,21.864091
-102.311917,21.874191
-102.300436,21.873238
-102.310460,21.871621
-102.318652,21.871574
-102.298655,21.864197
-102.317825,21.855658
-102.321843,21.853689
-102.313904,21.852808
-102.318157,21.868018
-102.316052,21.859749
-102.320938,21.871189
-102.316700,21.860667
-102.318448,21.874212
-102.316973,21.861632
-102.297365,21.858776
-102.302942,21.866913
-102.308258,21.845207
-102.311153,21.871697
-102.311153,21.871697
-102.317611,21.864880
-102.319854,21.852263
-102.320938,21.871188
-102.300596,21.873904
-102.311917,21.874191
-102.313997,21.859181
-102.298780,21.869725
-102.318157,21.868018
-102.317105,21.854187
-102.305802,21.863296
-102.316974,21.861637
-102.325736,21.871714
-102.304552,21.850397
